Inicial,Upcard,Acoes,Final,Valor,DealerFinal,Resultado,Aposta,PNL,Double,Split,BJ_Jogador,BJ_Dealer
89,T,S,89,17,57T,V,1.0,1.0,N,N,N,N
5J,T,H,59J,24,57T,D,1.0,-1.0,N,N,N,N
KK,T,S,KK,20,57T,V,1.0,1.0,N,N,N,N
27,T,HS,278,17,57T,V,1.0,1.0,N,N,N,N
7J,T,S,7J,17,57T,V,1.0,1.0,N,N,N,N
27,T,HH,257T,24,57T,D,1.0,-1.0,N,N,N,N
8K,T,S,8K,18,57T,V,1.0,1.0,N,N,N,N
5A,2,HHS,25AA,19,28J,D,1.0,-1.0,N,N,N,N
5A,2,HHH,55TAA,22,28J,D,1.0,-1.0,N,N,N,N
4Q,2,S,4Q,14,28J,D,1.0,-1.0,N,N,N,N
9A,2,S,9A,20,28J,E,1.0,0.0,N,N,N,N
QA,2,-,QA,21,28J,V,1.0,1.5,N,N,S,N
6K,2,S,6K,16,28J,D,1.0,-1.0,N,N,N,N
28,2,D,278,17,28J,D,1.0,-2.0,S,N,N,N
6A,T,HH,668A,21,TQ,V,1.0,1.0,N,N,N,N
4Q,T,HH,246Q,22,TQ,D,1.0,-1.0,N,N,N,N
23,T,HHHH,23457A,22,TQ,D,1.0,-1.0,N,N,N,N
4J,T,H,49J,23,TQ,D,1.0,-1.0,N,N,N,N
QK,T,S,QK,20,TQ,E,1.0,0.0,N,N,N,N
7J,T,S,7J,17,TQ,D,1.0,-1.0,N,N,N,N
89,T,S,89,17,TQ,D,1.0,-1.0,N,N,N,N
2K,K,HH,24JK,26,KK,D,1.0,-1.0,N,N,N,N
TA,K,-,TA,21,KK,V,1.0,1.5,N,N,S,N
9J,K,S,9J,19,KK,D,1.0,-1.0,N,N,N,N
39,K,HS,369,18,KK,D,1.0,-1.0,N,N,N,N
3T,K,HS,35T,18,KK,D,1.0,-1.0,N,N,N,N
39,K,HH,3379,22,KK,D,1.0,-1.0,N,N,N,N
29,K,D,289,19,KK,D,1.0,-2.0,S,N,N,N
TA,A,-,TA,21,6A,V,1.0,1.5,N,N,S,N
37,A,HS,37J,20,6A,V,1.0,1.0,N,N,N,N
2A,A,HS,27A,20,6A,V,1.0,1.0,N,N,N,N
7A,A,HS,7AA,19,6A,V,1.0,1.0,N,N,N,N
49,A,HS,449,17,6A,E,1.0,0.0,N,N,N,N
6T,A,H,6TK,26,6A,D,1.0,-1.0,N,N,N,N
JQ,A,S,JQ,20,6A,V,1.0,1.0,N,N,N,N
3Q,K,H,3QK,23,TK,D,1.0,-1.0,N,N,N,N
4Q,K,H,4QK,24,TK,D,1.0,-1.0,N,N,N,N
49,K,HS,449,17,TK,D,1.0,-1.0,N,N,N,N
6A,K,HS,6JA,17,TK,D,1.0,-1.0,N,N,N,N
TT,K,S,TT,20,TK,E,1.0,0.0,N,N,N,N
36,K,HH,366T,25,TK,D,1.0,-1.0,N,N,N,N
57,K,H,57T,22,TK,D,1.0,-1.0,N,N,N,N
4K,9,H,4TK,24,679,D,1.0,-1.0,N,N,N,N
2T,9,HS,28T,20,679,V,1.0,1.0,N,N,N,N
7J,9,S,7J,17,679,V,1.0,1.0,N,N,N,N
3Q,9,HS,36Q,19,679,V,1.0,1.0,N,N,N,N
5Q,9,H,56Q,21,679,V,1.0,1.0,N,N,N,N
35,9,HH,3459,21,679,V,1.0,1.0,N,N,N,N
KA,9,-,KA,21,679,V,1.0,1.5,N,N,S,N
3Q,8,HS,36Q,19,238Q,V,1.0,1.0,N,N,N,N
4A,8,HH,47JA,22,238Q,D,1.0,-1.0,N,N,N,N
89,8,S,89,17,238Q,V,1.0,1.0,N,N,N,N
48,8,HS,478,19,238Q,V,1.0,1.0,N,N,N,N
9Q,8,S,9Q,19,238Q,V,1.0,1.0,N,N,N,N
58,8,HH,358J,26,238Q,D,1.0,-1.0,N,N,N,N
39,8,HHS,2359,19,238Q,V,1.0,1.0,N,N,N,N
8K,Q,S,8K,18,QK,D,1.0,-1.0,N,N,N,N
TA,Q,-,TA,21,QK,V,1.0,1.5,N,N,S,N
7T,Q,S,7T,17,QK,D,1.0,-1.0,N,N,N,N
TQ,Q,S,TQ,20,QK,E,1.0,0.0,N,N,N,N
58,Q,HS,458,17,QK,D,1.0,-1.0,N,N,N,N
58,Q,H,588,21,QK,V,1.0,1.0,N,N,N,N
2T,Q,HHS,27TA,20,QK,E,1.0,0.0,N,N,N,N
24,Q,HHS,234T,19,5QQA,V,1.0,1.0,N,N,N,N
22,Q,HHH,2228K,24,5QQA,D,1.0,-1.0,N,N,N,N
3Q,Q,H,3QQ,23,5QQA,D,1.0,-1.0,N,N,N,N
4K,Q,H,48K,22,5QQA,D,1.0,-1.0,N,N,N,N
2Q,Q,HS,26Q,18,5QQA,V,1.0,1.0,N,N,N,N
79,Q,H,789,24,5QQA,D,1.0,-1.0,N,N,N,N
QA,Q,-,QA,21,5QQA,V,1.0,1.5,N,N,S,N
QK,9,S,QK,20,79K,V,1.0,1.0,N,N,N,N
8A,9,S,8A,19,79K,V,1.0,1.0,N,N,N,N
99,9,P,49,13,79K,V,1.0,1.0,N,S,N,N
39,9,HH,339J,25,79K,D,1.0,-1.0,N,S,N,N
8Q,9,S,8Q,18,79K,V,1.0,1.0,N,N,N,N
44,9,HD,244Q,20,79K,V,1.0,2.0,S,N,N,N
26,9,HD,2256,15,79K,V,1.0,2.0,S,N,N,N
8Q,9,S,8Q,18,79K,V,1.0,1.0,N,N,N,N
6Q,Q,HS,6QA,17,224Q,D,1.0,-1.0,N,N,N,N
QK,Q,S,QK,20,224Q,V,1.0,1.0,N,N,N,N
JK,Q,S,JK,20,224Q,V,1.0,1.0,N,N,N,N
3T,Q,H,3TK,23,224Q,D,1.0,-1.0,N,N,N,N
9T,Q,S,9T,19,224Q,V,1.0,1.0,N,N,N,N
39,Q,HS,389,20,224Q,V,1.0,1.0,N,N,N,N
27,Q,HS,279,18,224Q,E,1.0,0.0,N,N,N,N
36,6,D,36J,19,568,E,1.0,0.0,S,N,N,N
25,6,HS,259,16,568,D,1.0,-1.0,N,N,N,N
8A,6,D,68A,15,568,D,1.0,-2.0,S,N,N,N
3T,6,S,3T,13,568,D,1.0,-1.0,N,N,N,N
QK,6,S,QK,20,568,V,1.0,1.0,N,N,N,N
8K,6,S,8K,18,568,D,1.0,-1.0,N,N,N,N
6K,6,S,6K,16,568,D,1.0,-1.0,N,N,N,N
3K,3,S,3K,13,357J,V,1.0,1.0,N,N,N,N
JA,3,-,JA,21,357J,V,1.0,1.5,N,N,S,N
57,3,HS,257,14,357J,V,1.0,1.0,N,N,N,N
36,3,D,356,14,357J,V,1.0,2.0,S,N,N,N
2A,3,HS,2QA,13,357J,V,1.0,1.0,N,N,N,N
TT,3,S,TT,20,357J,V,1.0,1.0,N,N,N,N
38,3,D,38J,21,357J,V,1.0,2.0,S,N,N,N
2T,J,H,2TQ,22,TJ,D,1.0,-1.0,N,N,N,N
27,J,HH,247Q,23,TJ,D,1.0,-1.0,N,N,N,N
99,J,S,99,18,TJ,D,1.0,-1.0,N,N,N,N
78,J,H,78T,25,TJ,D,1.0,-1.0,N,N,N,N
4T,J,H,48T,22,TJ,D,1.0,-1.0,N,N,N,N
57,J,H,57J,22,TJ,D,1.0,-1.0,N,N,N,N
6T,J,H,66T,22,TJ,D,1.0,-1.0,N,N,N,N
9A,7,S,9A,20,467A,V,1.0,1.0,N,N,N,N
37,7,D,337,13,467A,D,1.0,-2.0,S,N,N,N
48,7,HH,348Q,25,467A,D,1.0,-1.0,N,N,N,N
28,7,D,28Q,20,467A,V,1.0,2.0,S,N,N,N
4T,7,H,49T,23,467A,D,1.0,-1.0,N,N,N,N
55,7,D,355,13,467A,D,1.0,-2.0,S,N,N,N
8K,7,S,8K,18,467A,E,1.0,0.0,N,N,N,N
27,5,D,247,13,557,D,1.0,-2.0,S,N,N,N
37,5,D,37Q,20,557,V,1.0,2.0,S,N,N,N
7T,5,S,7T,17,557,E,1.0,0.0,N,N,N,N
5J,5,S,5J,15,557,D,1.0,-1.0,N,N,N,N
8J,5,S,8J,18,557,V,1.0,1.0,N,N,N,N
3A,5,D,3KA,14,557,D,1.0,-2.0,S,N,N,N
5Q,5,S,5Q,15,557,D,1.0,-1.0,N,N,N,N
6A,4,D,46A,21,479A,E,1.0,0.0,S,N,N,N
2J,4,S,2J,12,479A,D,1.0,-1.0,N,N,N,N
8J,4,S,8J,18,479A,D,1.0,-1.0,N,N,N,N
5A,4,D,5TA,16,479A,D,1.0,-2.0,S,N,N,N
3Q,4,S,3Q,13,479A,D,1.0,-1.0,N,N,N,N
69,4,S,69,15,479A,D,1.0,-1.0,N,N,N,N
TK,4,S,TK,20,479A,D,1.0,-1.0,N,N,N,N
7K,8,S,7K,17,68T,V,1.0,1.0,N,N,N,N
JK,8,S,JK,20,68T,V,1.0,1.0,N,N,N,N
2T,8,HH,237T,22,68T,D,1.0,-1.0,N,N,N,N
22,8,HHHS,2223T,19,68T,V,1.0,1.0,N,N,N,N
8A,8,S,8A,19,68T,V,1.0,1.0,N,N,N,N
9Q,8,S,9Q,19,68T,V,1.0,1.0,N,N,N,N
6K,8,H,6KK,26,68T,D,1.0,-1.0,N,N,N,N
JK,J,S,JK,20,69J,V,1.0,1.0,N,N,N,N
4T,J,H,4TT,24,69J,D,1.0,-1.0,N,N,N,N
9K,J,S,9K,19,69J,V,1.0,1.0,N,N,N,N
3T,J,H,3TJ,23,69J,D,1.0,-1.0,N,N,N,N
25,J,HD,2456,17,69J,V,1.0,2.0,S,N,N,N
8J,J,S,8J,18,69J,V,1.0,1.0,N,N,N,N
JK,J,S,JK,20,69J,V,1.0,1.0,N,N,N,N
8T,6,S,8T,18,56T,D,1.0,-1.0,N,N,N,N
4T,6,S,4T,14,56T,D,1.0,-1.0,N,N,N,N
TA,6,-,TA,21,56T,V,1.0,1.5,N,N,S,N
25,6,HS,25Q,17,56T,D,1.0,-1.0,N,N,N,N
69,6,S,69,15,56T,D,1.0,-1.0,N,N,N,N
24,6,HS,246,12,56T,D,1.0,-1.0,N,N,N,N
58,6,S,58,13,56T,D,1.0,-1.0,N,N,N,N
8T,T,S,8T,18,6TT,V,1.0,1.0,N,N,N,N
2Q,T,H,2QQ,22,6TT,D,1.0,-1.0,N,N,N,N
25,T,HS,25T,17,6TT,V,1.0,1.0,N,N,N,N
8Q,T,S,8Q,18,6TT,V,1.0,1.0,N,N,N,N
8T,T,S,8T,18,6TT,V,1.0,1.0,N,N,N,N
8A,T,S,8A,19,6TT,V,1.0,1.0,N,N,N,N
4T,T,HS,34T,17,6TT,V,1.0,1.0,N,N,N,N
2K,J,HS,28K,20,34J,V,1.0,1.0,N,N,N,N
5A,J,HHS,45JA,20,34J,V,1.0,1.0,N,N,N,N
3A,J,HHHH,2336TA,25,34J,D,1.0,-1.0,N,N,N,N
TQ,J,S,TQ,20,34J,V,1.0,1.0,N,N,N,N
3K,J,H,3TK,23,34J,D,1.0,-1.0,N,N,N,N
38,J,D,389,20,34J,V,1.0,2.0,S,N,N,N
6K,J,HS,36K,19,34J,V,1.0,1.0,N,N,N,N
37,A,-,37,10,TA,D,1.0,-1.0,N,N,N,S
79,A,-,79,16,TA,D,1.0,-1.0,N,N,N,S
3K,A,-,3K,13,TA,D,1.0,-1.0,N,N,N,S
7A,A,-,7A,18,TA,D,1.0,-1.0,N,N,N,S
7Q,A,-,7Q,17,TA,D,1.0,-1.0,N,N,N,S
QA,A,-,QA,21,TA,E,1.0,0.0,N,N,S,S
9Q,A,-,9Q,19,TA,D,1.0,-1.0,N,N,N,S
49,J,HS,469,19,47J,D,1.0,-1.0,N,N,N,N
6T,J,H,6TQ,26,47J,D,1.0,-1.0,N,N,N,N
3K,J,HS,34K,17,47J,D,1.0,-1.0,N,N,N,N
35,J,HH,356J,24,47J,D,1.0,-1.0,N,N,N,N
5K,J,H,58K,23,47J,D,1.0,-1.0,N,N,N,N
79,J,HS,279,18,47J,D,1.0,-1.0,N,N,N,N
4A,J,HHS,34QA,18,47J,D,1.0,-1.0,N,N,N,N
3A,5,D,3AA,15,35K,D,1.0,-2.0,S,N,N,N
28,5,D,28J,20,35K,V,1.0,2.0,S,N,N,N
69,5,S,69,15,35K,D,1.0,-1.0,N,N,N,N
5T,5,S,5T,15,35K,D,1.0,-1.0,N,N,N,N
KK,5,S,KK,20,35K,V,1.0,1.0,N,N,N,N
46,5,D,46Q,20,35K,V,1.0,2.0,S,N,N,N
67,5,S,67,13,35K,D,1.0,-1.0,N,N,N,N
88,4,P,38,11,488,D,1.0,-1.0,N,S,N,N
68,4,S,68,14,488,D,1.0,-1.0,N,S,N,N
77,4,P,47,11,488,D,1.0,-1.0,N,S,N,N
67,4,S,67,13,488,D,1.0,-1.0,N,S,N,N
7A,4,D,7AA,19,488,D,1.0,-2.0,S,N,N,N
3K,4,S,3K,13,488,D,1.0,-1.0,N,N,N,N
6T,4,S,6T,16,488,D,1.0,-1.0,N,N,N,N
4Q,4,S,4Q,14,488,D,1.0,-1.0,N,N,N,N
59,4,S,59,14,488,D,1.0,-1.0,N,N,N,N
39,9,HH,3399,24,49Q,D,1.0,-1.0,N,N,N,N
8Q,9,S,8Q,18,49Q,V,1.0,1.0,N,N,N,N
8T,9,S,8T,18,49Q,V,1.0,1.0,N,N,N,N
5J,9,H,5JJ,25,49Q,D,1.0,-1.0,N,N,N,N
4Q,9,HHS,24QA,17,49Q,V,1.0,1.0,N,N,N,N
2A,9,HHS,279A,19,49Q,V,1.0,1.0,N,N,N,N
29,9,D,229,13,49Q,V,1.0,2.0,S,N,N,N
3J,6,S,3J,13,26J,D,1.0,-1.0,N,N,N,N
JK,6,S,JK,20,26J,V,1.0,1.0,N,N,N,N
4J,6,S,4J,14,26J,D,1.0,-1.0,N,N,N,N
9J,6,S,9J,19,26J,V,1.0,1.0,N,N,N,N
78,6,S,78,15,26J,D,1.0,-1.0,N,N,N,N
KA,6,-,KA,21,26J,V,1.0,1.5,N,N,S,N
9Q,6,S,9Q,19,26J,V,1.0,1.0,N,N,N,N
59,K,H,599,23,35K,D,1.0,-1.0,N,N,N,N
KK,K,S,KK,20,35K,V,1.0,1.0,N,N,N,N
TT,K,S,TT,20,35K,V,1.0,1.0,N,N,N,N
4A,K,HS,44A,19,35K,V,1.0,1.0,N,N,N,N
25,K,HHS,225K,19,35K,V,1.0,1.0,N,N,N,N
5T,K,H,5TT,25,35K,D,1.0,-1.0,N,N,N,N
3K,K,H,39K,22,35K,D,1.0,-1.0,N,N,N,N
57,J,HHS,457A,17,22JQ,V,1.0,1.0,N,N,N,N
24,J,HD,245T,21,22JQ,V,1.0,2.0,S,N,N,N
6K,J,HS,6KA,17,22JQ,V,1.0,1.0,N,N,N,N
23,J,HH,23TK,25,22JQ,D,1.0,-1.0,N,N,N,N
57,J,H,57K,22,22JQ,D,1.0,-1.0,N,N,N,N
49,J,HH,2479,22,22JQ,D,1.0,-1.0,N,N,N,N
36,J,HH,356J,24,22JQ,D,1.0,-1.0,N,N,N,N
26,K,HS,26Q,18,TK,D,1.0,-1.0,N,N,N,N
JQ,K,S,JQ,20,TK,E,1.0,0.0,N,N,N,N
56,K,D,56T,21,TK,V,1.0,2.0,S,N,N,N
36,K,HH,356J,24,TK,D,1.0,-1.0,N,N,N,N
6A,K,H,46A,21,TK,V,1.0,1.0,N,N,N,N
TT,K,S,TT,20,TK,E,1.0,0.0,N,N,N,N
24,K,HHS,234K,19,TK,D,1.0,-1.0,N,N,N,N
2A,3,HS,27A,20,33A,V,1.0,1.0,N,N,N,N
8Q,3,S,8Q,18,33A,V,1.0,1.0,N,N,N,N
4A,3,HS,4JA,15,33A,D,1.0,-1.0,N,N,N,N
7K,3,S,7K,17,33A,E,1.0,0.0,N,N,N,N
5T,3,S,5T,15,33A,D,1.0,-1.0,N,N,N,N
9J,3,S,9J,19,33A,V,1.0,1.0,N,N,N,N
6Q,3,S,6Q,16,33A,D,1.0,-1.0,N,N,N,N
47,6,D,47K,21,6TK,V,1.0,2.0,S,N,N,N
26,6,HD,2346,15,6TK,V,1.0,2.0,S,N,N,N
27,6,D,257,14,6TK,V,1.0,2.0,S,N,N,N
38,6,D,348,15,6TK,V,1.0,2.0,S,N,N,N
23,6,HS,23K,15,6TK,V,1.0,1.0,N,N,N,N
7Q,6,S,7Q,17,6TK,V,1.0,1.0,N,N,N,N
6Q,6,S,6Q,16,6TK,V,1.0,1.0,N,N,N,N
29,2,D,229,13,246Q,V,1.0,2.0,S,N,N,N
28,2,D,238,13,246Q,V,1.0,2.0,S,N,N,N
3T,2,S,3T,13,246Q,V,1.0,1.0,N,N,N,N
88,2,P,8Q,18,246Q,V,1.0,1.0,N,S,N,N
28,2,HS,278,17,246Q,V,1.0,1.0,N,S,N,N
QK,2,S,QK,20,246Q,V,1.0,1.0,N,N,N,N
8K,2,S,8K,18,246Q,V,1.0,1.0,N,N,N,N
49,2,S,49,13,246Q,V,1.0,1.0,N,N,N,N
34,6,HD,334A,21,2667,E,1.0,0.0,S,N,N,N
2A,6,D,24A,17,2667,D,1.0,-2.0,S,N,N,N
8J,6,S,8J,18,2667,D,1.0,-1.0,N,N,N,N
47,6,D,447,15,2667,D,1.0,-2.0,S,N,N,N
8Q,6,S,8Q,18,2667,D,1.0,-1.0,N,N,N,N
TQ,6,S,TQ,20,2667,D,1.0,-1.0,N,N,N,N
79,6,S,79,16,2667,D,1.0,-1.0,N,N,N,N
34,T,HS,34T,17,TA,D,1.0,-1.0,N,N,N,S
4Q,T,HH,245Q,21,TA,D,1.0,-1.0,N,N,N,S
2K,T,H,2JK,22,TA,D,1.0,-1.0,N,N,N,S
9J,T,S,9J,19,TA,D,1.0,-1.0,N,N,N,S
3A,T,HHH,39KAA,24,TA,D,1.0,-1.0,N,N,N,S
5A,T,HS,35A,19,TA,D,1.0,-1.0,N,N,N,S
QA,T,-,QA,21,TA,E,1.0,0.0,N,N,S,S
88,8,P,58,13,8T,D,1.0,-1.0,N,S,N,N
8T,8,S,8T,18,8T,E,1.0,0.0,N,S,N,N
6Q,8,HS,26Q,18,8T,E,1.0,0.0,N,N,N,N
46,8,D,468,18,8T,E,1.0,0.0,S,N,N,N
68,8,H,688,22,8T,D,1.0,-1.0,N,N,N,N
9T,8,S,9T,19,8T,V,1.0,1.0,N,N,N,N
59,8,H,599,23,8T,D,1.0,-1.0,N,N,N,N
8Q,8,S,8Q,18,8T,E,1.0,0.0,N,N,N,N
QA,8,-,QA,21,22358,V,1.0,1.5,N,N,S,N
9T,8,S,9T,19,22358,D,1.0,-1.0,N,N,N,N
5J,8,HS,25J,17,22358,D,1.0,-1.0,N,N,N,N
9T,8,S,9T,19,22358,D,1.0,-1.0,N,N,N,N
2K,8,H,2QK,22,22358,D,1.0,-1.0,N,N,N,N
7T,8,S,7T,17,22358,D,1.0,-1.0,N,N,N,N
77,8,HHS,2377,19,22358,D,1.0,-1.0,N,N,N,N
9Q,6,S,9Q,19,46K,D,1.0,-1.0,N,N,N,N
3A,6,D,34A,18,46K,D,1.0,-2.0,S,N,N,N
TQ,6,S,TQ,20,46K,E,1.0,0.0,N,N,N,N
2K,6,S,2K,12,46K,D,1.0,-1.0,N,N,N,N
2J,6,S,2J,12,46K,D,1.0,-1.0,N,N,N,N
TA,6,-,TA,21,46K,V,1.0,1.5,N,N,S,N
9T,6,S,9T,19,46K,D,1.0,-1.0,N,N,N,N
9J,6,S,9J,19,69Q,V,1.0,1.0,N,N,N,N
2Q,6,S,2Q,12,69Q,V,1.0,1.0,N,N,N,N
KA,6,-,KA,21,69Q,V,1.0,1.5,N,N,S,N
TJ,6,S,TJ,20,69Q,V,1.0,1.0,N,N,N,N
4J,6,S,4J,14,69Q,V,1.0,1.0,N,N,N,N
4J,6,S,4J,14,69Q,V,1.0,1.0,N,N,N,N
37,6,D,337,13,69Q,V,1.0,2.0,S,N,N,N
TT,Q,S,TT,20,2227Q,V,1.0,1.0,N,N,N,N
29,Q,D,259,16,2227Q,V,1.0,2.0,S,N,N,N
58,Q,HH,3588,24,2227Q,D,1.0,-1.0,N,N,N,N
3Q,Q,HS,34Q,17,2227Q,V,1.0,1.0,N,N,N,N
4A,Q,HHS,349A,17,2227Q,V,1.0,1.0,N,N,N,N
JA,Q,-,JA,21,2227Q,V,1.0,1.5,N,N,S,N
79,Q,HS,279,18,2227Q,V,1.0,1.0,N,N,N,N
5A,J,HHS,5QAA,17,JQ,D,1.0,-1.0,N,N,N,N
9Q,J,S,9Q,19,JQ,D,1.0,-1.0,N,N,N,N
66,J,H,66T,22,JQ,D,1.0,-1.0,N,N,N,N
4A,J,HHS,234A,20,JQ,E,1.0,0.0,N,N,N,N
6T,J,H,6TJ,26,JQ,D,1.0,-1.0,N,N,N,N
26,J,HHS,2468,20,JQ,E,1.0,0.0,N,N,N,N
2J,J,H,2JK,22,JQ,D,1.0,-1.0,N,N,N,N
5K,J,HS,35K,18,JK,D,1.0,-1.0,N,N,N,N
5A,J,HH,58TA,24,JK,D,1.0,-1.0,N,N,N,N
79,J,H,579,21,JK,V,1.0,1.0,N,N,N,N
4K,J,H,49K,23,JK,D,1.0,-1.0,N,N,N,N
6T,J,H,6TK,26,JK,D,1.0,-1.0,N,N,N,N
27,J,HHS,2467,19,JK,D,1.0,-1.0,N,N,N,N
9T,J,S,9T,19,JK,D,1.0,-1.0,N,N,N,N
46,5,D,46Q,20,355K,V,1.0,2.0,S,N,N,N
8T,5,S,8T,18,355K,V,1.0,1.0,N,N,N,N
8K,5,S,8K,18,355K,V,1.0,1.0,N,N,N,N
78,5,S,78,15,355K,V,1.0,1.0,N,N,N,N
2A,5,D,2JA,13,355K,V,1.0,2.0,S,N,N,N
49,5,S,49,13,355K,V,1.0,1.0,N,N,N,N
7J,5,S,7J,17,355K,V,1.0,1.0,N,N,N,N
79,K,H,79T,26,23QK,D,1.0,-1.0,N,N,N,N
6Q,K,HS,46Q,20,23QK,V,1.0,1.0,N,N,N,N
28,K,H,28A,21,23QK,V,1.0,1.0,N,N,N,N
78,K,H,678,21,23QK,V,1.0,1.0,N,N,N,N
23,K,HH,235A,21,23QK,V,1.0,1.0,N,N,N,N
TA,K,-,TA,21,23QK,V,1.0,1.5,N,N,S,N
5K,K,HH,55KA,21,23QK,V,1.0,1.0,N,N,N,N
2A,J,HHHS,223TA,18,JJ,D,1.0,-1.0,N,N,N,N
TT,J,S,TT,20,JJ,E,1.0,0.0,N,N,N,N
2Q,J,HHS,223Q,17,JJ,D,1.0,-1.0,N,N,N,N
3T,J,HS,37T,20,JJ,E,1.0,0.0,N,N,N,N
23,J,HH,238J,23,JJ,D,1.0,-1.0,N,N,N,N
9Q,J,S,9Q,19,JJ,D,1.0,-1.0,N,N,N,N
3A,J,HHH,337QA,24,JJ,D,1.0,-1.0,N,N,N,N
37,J,HH,3577,22,29J,D,1.0,-1.0,N,N,N,N
4Q,J,HHH,48QAA,24,29J,D,1.0,-1.0,N,N,N,N
8K,J,S,8K,18,29J,D,1.0,-1.0,N,N,N,N
23,J,HHHS,22346,17,29J,D,1.0,-1.0,N,N,N,N
7Q,J,S,7Q,17,29J,D,1.0,-1.0,N,N,N,N
8K,J,S,8K,18,29J,D,1.0,-1.0,N,N,N,N
45,J,HS,45Q,19,29J,D,1.0,-1.0,N,N,N,N
46,8,D,456,15,289,D,1.0,-2.0,S,N,N,N
3K,8,H,39K,22,289,D,1.0,-1.0,N,N,N,N
35,8,HH,358T,26,289,D,1.0,-1.0,N,N,N,N
JQ,8,S,JQ,20,289,V,1.0,1.0,N,N,N,N
77,8,H,778,22,289,D,1.0,-1.0,N,N,N,N
JK,8,S,JK,20,289,V,1.0,1.0,N,N,N,N
9K,8,S,9K,19,289,E,1.0,0.0,N,N,N,N
7Q,6,S,7Q,17,69Q,V,1.0,1.0,N,N,N,N
2A,6,D,29A,12,69Q,V,1.0,2.0,S,N,N,N
77,6,P,37,10,69Q,V,1.0,1.0,N,S,N,N
77,6,P,37,10,69Q,V,1.0,1.0,N,S,N,N
77,6,P,79,16,69Q,V,1.0,1.0,N,S,N,N
27,6,HS,27A,20,69Q,V,1.0,1.0,N,S,N,N
68,6,S,68,14,69Q,V,1.0,1.0,N,N,N,N
55,6,D,555,15,69Q,V,1.0,2.0,S,N,N,N
46,6,D,469,19,69Q,V,1.0,2.0,S,N,N,N
6Q,6,S,6Q,16,69Q,V,1.0,1.0,N,N,N,N
7K,5,S,7K,17,45A,D,1.0,-1.0,N,N,N,N
88,5,P,8Q,18,45A,D,1.0,-1.0,N,S,N,N
8T,5,S,8T,18,45A,D,1.0,-1.0,N,S,N,N
89,5,S,89,17,45A,D,1.0,-1.0,N,N,N,N
4A,5,D,46A,21,45A,V,1.0,2.0,S,N,N,N
5Q,5,S,5Q,15,45A,D,1.0,-1.0,N,N,N,N
6T,5,S,6T,16,45A,D,1.0,-1.0,N,N,N,N
9T,5,S,9T,19,45A,D,1.0,-1.0,N,N,N,N
3A,3,H,37A,21,23JQ,V,1.0,1.0,N,N,N,N
67,3,S,67,13,23JQ,V,1.0,1.0,N,N,N,N
TA,3,-,TA,21,23JQ,V,1.0,1.5,N,N,S,N
TA,3,-,TA,21,23JQ,V,1.0,1.5,N,N,S,N
9A,3,S,9A,20,23JQ,V,1.0,1.0,N,N,N,N
QA,3,-,QA,21,23JQ,V,1.0,1.5,N,N,S,N
6Q,3,S,6Q,16,23JQ,V,1.0,1.0,N,N,N,N
78,3,S,78,15,223J,D,1.0,-1.0,N,N,N,N
77,3,P,79,16,223J,D,1.0,-1.0,N,S,N,N
7Q,3,S,7Q,17,223J,E,1.0,0.0,N,S,N,N
6A,3,D,6KA,17,223J,E,1.0,0.0,S,N,N,N
8A,3,S,8A,19,223J,V,1.0,1.0,N,N,N,N
57,3,HS,457,16,223J,D,1.0,-1.0,N,N,N,N
TT,3,S,TT,20,223J,V,1.0,1.0,N,N,N,N
39,3,HS,359,17,223J,E,1.0,0.0,N,N,N,N
8T,3,S,8T,18,37K,D,1.0,-1.0,N,N,N,N
TA,3,-,TA,21,37K,V,1.0,1.5,N,N,S,N
89,3,S,89,17,37K,D,1.0,-1.0,N,N,N,N
TJ,3,S,TJ,20,37K,E,1.0,0.0,N,N,N,N
2Q,3,H,2QQ,22,37K,D,1.0,-1.0,N,N,N,N
34,3,HS,34K,17,37K,D,1.0,-1.0,N,N,N,N
4T,3,S,4T,14,37K,D,1.0,-1.0,N,N,N,N
2K,A,-,2K,12,TA,D,1.0,-1.0,N,N,N,S
69,A,-,69,15,TA,D,1.0,-1.0,N,N,N,S
29,A,-,29,11,TA,D,1.0,-1.0,N,N,N,S
TK,A,-,TK,20,TA,D,1.0,-1.0,N,N,N,S
6T,A,-,6T,16,TA,D,1.0,-1.0,N,N,N,S
TA,A,-,TA,21,TA,E,1.0,0.0,N,N,S,S
2K,A,-,2K,12,TA,D,1.0,-1.0,N,N,N,S
99,4,P,59,14,3447,D,1.0,-1.0,N,S,N,N
9K,4,S,9K,19,3447,V,1.0,1.0,N,S,N,N
23,4,HS,23Q,15,3447,D,1.0,-1.0,N,N,N,N
8A,4,S,8A,19,3447,V,1.0,1.0,N,N,N,N
8A,4,S,8A,19,3447,V,1.0,1.0,N,N,N,N
6J,4,S,6J,16,3447,D,1.0,-1.0,N,N,N,N
TK,4,S,TK,20,3447,V,1.0,1.0,N,N,N,N
JK,4,S,JK,20,3447,V,1.0,1.0,N,N,N,N
39,A,HS,359,17,7AA,D,1.0,-1.0,N,N,N,N
KK,A,S,KK,20,7AA,V,1.0,1.0,N,N,N,N
28,A,HS,289,19,7AA,E,1.0,0.0,N,N,N,N
6A,A,H,46A,21,7AA,V,1.0,1.0,N,N,N,N
9K,A,S,9K,19,7AA,E,1.0,0.0,N,N,N,N
